dataset,run_name,status,n_rows,cvar95_combined_nll,mean_combined_nll,cvar95_tl_color_nll,cvar95_tl_confidence_nll,mean_tl_discrepancy,mean_tl_discrepancy_residual,permanent_stop_rel_s,likely_static_collision,mrm_first_trigger_rel_s
imu_fault_s1,goal_007_t1_20260728_204000,goal_reached,1613,-10.407208525104288,-18.05252350123122,16.73792686285796,25.03174232553553,0.19652820830750156,0.10883362027790881,,False,6.701111078262329
imu_fault_s1,goal_012_t1_20260728_204347,timeout,3071,-4.061588281160825,-18.727900955972824,14.548718464838995,17.268767762493777,0.007815043959622273,0.042462290992943595,,False,0.9903883934020996
imu_fault_s3,goal_007_t1_20260728_195042,stuck,1844,33.48513034979502,-9.816762202538534,7.248325604264454,33.52941978618663,0.1420824295010846,0.07474150184069604,96.48,True,1.0117383003234863
imu_fault_s3,goal_012_t1_20260728_195502,stuck,2700,65.0731657522696,-7.104801215507366,24.070304192437067,36.28858810707375,0.0077777777777777776,0.02730165650663198,175.69,True,0.20243597030639648
imu_fault_scale,goal_007_t1_20260728_200905,stuck,1560,246.704592191256,52.03758558783776,24.37216925009703,54.46262687291854,0.11346153846153846,0.08081612073320533,68.44,True,9.49455451965332
imu_fault_scale,goal_012_t1_20260728_201253,stuck,1868,770.5804813466174,241.5239115048527,7.913669806845645,16.96023848716249,0.004817987152034261,0.021088175359292825,93.36,True,4.582334280014038
imu_fault_stuck,goal_007_t1_20260728_202434,stuck,1543,9768.48908253205,2926.566925903921,9.853588073681562,35.19566330542931,0.7226182760855476,0.6881021108288592,65.94,True,5.476089954376221
imu_fault_stuck,goal_012_t1_20260728_202808,stuck,2088,5557.466471354167,563.4964166638723,39.37366848900204,58.745984794980004,0.005268199233716475,0.018062447615250873,114.88,True,2.2103452682495117
tl_fault_s2,goal_007_t1_20260728_205829,goal_reached,1571,-4.679458203195017,-17.363851988945395,9.906424769872352,21.10754258119607,0.1705919796308084,0.1040400437831381,,False,84.21037435531616
tl_fault_s2,goal_012_t1_20260728_210210,goal_reached,2127,3.0782442460550326,-16.324130058905077,86.04525799617589,19.98814604661175,0.004231311706629055,0.0623701643976199,,False,63.305596590042114
tl_fault_s2,goal_026_t1_20260728_210652,goal_reached,2529,-6.300253423180167,-18.1611381411411,107.82681508702557,22.192312696787315,0.022933965994464216,0.049339907934521865,,False,15.503375768661499
tl_fault_s3,goal_007_t1_20260728_211338,goal_reached,1824,-10.84974045727564,-18.274474737087363,9.924097053382708,16.656963487034258,0.23300438596491227,0.11293868746268643,,False,3.20194935798645
tl_fault_s3,goal_012_t1_20260728_211902,goal_reached,2488,-9.600658772468567,-17.257310148843615,18.402851833343504,28.064163566589354,0.003215434083601286,0.06915464863110482,,False,0.10511994361877441
tl_fault_s3,goal_026_t1_20260728_212548,timeout,3080,-7.391432265182594,-17.5021561302922,44.83736961538141,50.65378916108763,0.20454545454545456,0.19902107216129622,,False,2.3956799507141113
tl_fault_s4,goal_007_t1_20260728_213355,goal_reached,1786,-7.628632387850019,-17.994646988750706,7.961016133758757,14.823607823583815,0.2200447928331467,0.12901233669592893,,False,2.314953565597534
tl_fault_s4,goal_012_t1_20260728_213807,goal_reached,2649,-11.464038058331138,-17.585395494646825,17.047242419163982,17.485660730447986,0.003020007550018875,0.0697469355831159,,False,1.4099798202514648
tl_fault_s4,goal_026_t1_20260728_214355,timeout,3069,-1.4285545488456628,-16.86783576182567,23.76898305137436,29.463828480088864,0.07885304659498207,0.0986081919094142,,False,1.6983282566070557
tl_fault_ramp,goal_007_t1_20260728_215204,goal_reached,1951,16.85710674159381,-15.148242095047117,58.658003554052236,36.95955587893116,0.21168631471040492,0.12883946783004593,,False,0.8077116012573242
