position_loss,velocity_loss,steering_loss,acceleration_loss,total_nll,object_distance_loss,traffic_light_loss,total_loss
-216.90045004396052,-169.58239665283963,-59.394619938740476,-34.73848162261868,-480.6159476877373,0.025709169258209773,0.08173249710664571,-480.5085063233182
-217.27556555441979,-169.98014403726452,-59.406479606747254,-34.800336240608004,-481.46252507955484,0.025652279439048603,0.081553113121667,-481.35531939450084
-217.05409164666386,-170.04451544931,-59.44929223937038,-34.709421832242114,-481.25732136663987,0.02572438236314374,0.08116886574438428,-481.15042760736105
-217.2297206890546,-170.2907436287663,-59.490915007309006,-34.988541582291745,-481.9999210916204,0.025705556730475754,0.08150520556348136,-481.89271169882323
-217.40168980868805,-170.1223359865563,-59.472751058893415,-35.01770042704645,-482.01447854680805,0.025704808701468036,0.08137334618612985,-481.90739940037236
-217.40446961780202,-170.20857424156688,-59.47963132293796,-35.058120977098696,-482.150797906323,0.025724659810231483,0.08108527470971937,-482.0439871434482
-217.72705957525616,-170.2042678880543,-59.49827963095216,-35.02875115492633,-482.45835767133957,0.025717202336106717,0.08127853624824423,-482.3513618065189
-217.50048614216743,-170.3939156220338,-59.49551552032756,-35.13894779288509,-482.5288652556708,0.02573643902148413,0.0812044223520986,-482.42192339080145
-217.09065536546558,-170.56480816517293,-59.496875038028136,-35.326254366342894,-482.4785940580279,0.02570691925830373,0.08108953177650398,-482.37179708035194
-218.52571471977828,-170.61353779730396,-59.52513405392846,-35.22717411718636,-483.8915594463408,0.025726234517132754,0.08110998329529509,-483.7847237750377
-217.79198729137767,-170.4616575627312,-59.55552674528223,-35.17870162209246,-482.987873398255,0.02572255799796351,0.08104573060233274,-482.88110541703173
-217.64647463029047,-170.87242078929674,-59.58667934572214,-35.39411629174729,-483.499693493234,0.025719697706146034,0.08093648468872468,-483.3930376950083
-218.40468200493453,-170.95630838269386,-59.56578652212553,-35.514741988196924,-484.4415183379271,0.02573306640940849,0.08094570145150211,-484.33483877211717
-218.59588024103752,-170.9633550911306,-59.55734696195133,-35.53390897471586,-484.65049168476804,0.02568722913198382,0.08106488332941525,-484.5437394852207
-218.44819783718788,-171.0527149331161,-59.61049180313063,-35.669275574966385,-484.7806793878383,0.025748790389745035,0.08101102398749081,-484.6739189171717
-218.866115819628,-171.11063853231175,-59.63692009708963,-35.35737808916799,-484.97105374440224,0.025691652972239572,0.08117119334289961,-484.86419012242015
-218.98017697913625,-171.2032371354623,-59.62638863299123,-35.75389094367577,-485.5636940834307,0.02572097356584956,0.08075328725984907,-485.45722005968895
-218.50036069685797,-171.3016414464077,-59.608491867873525,-35.75309383237845,-485.1635863877531,0.02570262331968156,0.08085871425187477,-485.05702508944216
-218.78688201428946,-171.34402294693706,-59.63298645494883,-35.77917548206365,-485.54306648230624,0.025717081322198344,0.08055122136326966,-485.4367972400701
-219.18984999612113,-171.12981688122142,-59.66975696361696,-35.86729272503719,-485.85671702352266,0.025705272888886594,0.080731111291413,-485.7502815983377
