position_loss,velocity_loss,steering_loss,acceleration_loss,traffic_light_state_loss,total_nll,position_l2_raw,velocity_l1_raw,traffic_light_loss,traffic_light_discrepancy_loss,total_loss
-1.8762376848020053,-3.2565957772104364,-0.5178652659842843,-2.107491773889776,-0.8656475265820821,-8.62383804321289,0.008897686739893336,0.016811255901529078,0.04670964789233709,0.029454734457427995,-8.547673663758395
-1.8805248172659623,-3.233403952079907,-0.5125462352183827,-2.0981698287160775,-0.8630912609267654,-8.587736067855568,0.008879317037695856,0.01659153452502531,0.04681603428825998,0.029555930504411982,-8.511364081867955
-1.875122886791564,-3.231197632404796,-0.5119774357268685,-2.0930859733046145,-0.8616377840962326,-8.573021659516451,0.008840948170083657,0.016655069445831734,0.046047147977770424,0.029113222573671424,-8.497861284958688
-1.8760916571868094,-3.2111593254825523,-0.5084184578636236,-2.0928051572096975,-0.8627367544592472,-8.551211353770473,0.008919417010130066,0.016526349914962785,0.046540762836995875,0.02944031648599265,-8.475230290596945
-1.8791039090407522,-3.2298650917253995,-0.5074959502931227,-2.092572061220805,-0.861856872784464,-8.570893869901958,0.00889126689647112,0.016602806557427373,0.04611313964583372,0.029006307137509187,-8.495774446453964
-1.8786512224297776,-3.2042705335115134,-0.5045465971294202,-2.083301603584959,-0.8596008988848903,-8.530370867879768,0.008897013334851515,0.016422623801126815,0.04575303919744073,0.028826379403471946,-8.455791461676881
-1.8696166937811334,-3.2002103788810863,-0.5033932218426153,-2.078902820536965,-0.8570404307884082,-8.509163538614908,0.008823133078648855,0.01639273029082177,0.0457322691877683,0.028767502726170055,-8.434663749159428
-1.8441655020964773,-3.1620637048754774,-0.49362803300221764,-2.068784645147491,-0.853344942812334,-8.421986829188832,0.008741358058167654,0.0160950792920694,0.04515222139133696,0.02865772372144356,-8.34817692773384
-1.8468617184120313,-3.1491462372896963,-0.4940611039337359,-2.0659090401833518,-0.8532901682351764,-8.409268250381738,0.008702211791093935,0.01609860139065667,0.04524403424900875,0.028654964588451803,-8.335369265706916
-1.8429710576408789,-3.1417560485371374,-0.49027910326656543,-2.0584998034594353,-0.8551129794957345,-8.388618971172132,0.008702531916073017,0.016043974073571072,0.04522704498417545,0.02850017343696795,-8.314891741568582
-1.8338535333934582,-3.1454882630130703,-0.4945964433644947,-2.06009874594839,-0.8540986565121433,-8.388135655721028,0.008627454139161527,0.016069773029078516,0.044839024772508104,0.028360326006485706,-8.31493627983227
-1.8266100105486418,-3.129533246525547,-0.48857390922412536,-2.0541998566242685,-0.8527794327652245,-8.351696462798538,0.00862598025092953,0.015897018478758504,0.045148486291107376,0.02836588221160989,-8.27818208159062
-1.833375875155131,-3.1195070024122273,-0.4873165094015891,-2.055198323517515,-0.850826763061055,-8.346224446882282,0.008637317990590082,0.015899334334882727,0.04467380791902542,0.028309301829390357,-8.273241342578018
-1.8234113408808124,-3.1284806837115373,-0.48922543933517054,-2.057583194448237,-0.8516709457363999,-8.350371595014606,0.008621222444140075,0.015874740641498776,0.044717648664587425,0.02816639643227845,-8.277487560740688
-1.8200329885148165,-3.1029945222955,-0.48780681522269,-2.0523546850472165,-0.8496761717294392,-8.312865203723574,0.008628549797689183,0.01582747492285674,0.04455115260523662,0.028122149218331303,-8.24019188295331
-1.8216303264885618,-3.116536621461835,-0.4864805835380889,-2.047391168276469,-0.8506600681104158,-8.322698735354239,0.008554877125118909,0.015818281465193682,0.044560767853992024,0.02838922497211841,-8.249748765376577
-1.8222261366091277,-3.1158060441937363,-0.4840132556463543,-2.049332136020326,-0.8513946700514409,-8.322772231854891,0.008605129784790047,0.01581707541553075,0.04449733417285116,0.027871950705976863,-8.250402952495374
-1.8183464096303572,-3.1054696275476825,-0.48333588232073865,-2.0529797395070393,-0.8477913833501046,-8.30792302416082,0.008557022965856288,0.01581553825618405,0.04403548613190651,0.028007212483830618,-8.235880328061288
-1.8129595848551967,-3.0990269619121884,-0.4861969416601616,-2.0447336627725967,-0.8493659400103385,-8.29228310835989,0.008581681167216677,0.015642291608086802,0.043893027423243774,0.027685666933917163,-8.22070442333556
-1.8052935679753621,-3.0758969992922065,-0.48078432470037225,-2.042779030297932,-0.8455304877799854,-8.250284397392942,0.00848171874031163,0.015576272523194028,0.04391512913923515,0.027707472077587194,-8.178661774752433
